start, node, step, time
[1 2 3 7 8 4 None 6 5], 3, 2, 0.0002582073211669922
[8 1 3 None 2 4 7 6 5], 4, 3, 0.0002830028533935547
[1 None 2 8 4 3 7 6 5], 5, 3, 0.0003867149353027344
[8 1 3 7 2 4 None 6 5], 5, 4, 0.00048804283142089844
[1 None 3 7 2 4 6 8 5], 6, 5, 0.0008089542388916016
[1 3 4 8 6 2 7 None 5], 6, 5, 0.0005211830139160156
[1 3 4 8 None 5 7 2 6], 7, 6, 0.0014309883117675781
[None 1 3 8 2 6 7 5 4], 7, 6, 0.0009458065032958984
[3 None 4 1 8 2 7 6 5], 9, 7, 0.0010237693786621094
[1 2 3 7 8 5 4 None 6], 12, 7, 0.00096893310546875
[1 2 3 6 4 5 8 None 7], 9, 7, 0.003194093704223633
[2 3 4 1 8 5 7 None 6], 11, 7, 0.0013072490692138672
[1 2 3 6 4 5 8 None 7], 9, 7, 0.0013778209686279297
[2 3 4 1 6 8 7 None 5], 9, 7, 0.0007259845733642578
[8 1 2 4 3 None 7 6 5], 9, 7, 0.0012121200561523438
[8 1 4 None 3 2 7 6 5], 9, 7, 0.0012562274932861328
[1 4 2 8 3 5 7 None 6], 9, 7, 0.0007219314575195312
[8 1 3 2 4 5 7 None 6], 9, 7, 0.0012359619140625
[2 8 3 1 4 5 7 None 6], 9, 7, 0.001291036605834961
[2 8 3 1 None 5 7 4 6], 14, 8, 0.0015759468078613281
[None 4 2 1 6 3 8 7 5], 10, 8, 0.001544952392578125
[3 4 None 1 8 2 7 6 5], 12, 8, 0.0017139911651611328
[1 6 2 7 8 3 None 5 4], 9, 8, 0.0011510848999023438
[8 4 1 2 None 3 7 6 5], 11, 8, 0.004558086395263672
[1 2 3 4 7 5 None 8 6], 13, 8, 0.0010521411895751953
[2 6 3 1 7 4 8 5 None], 9, 8, 0.0013298988342285156
[8 1 None 4 3 2 7 6 5], 10, 8, 0.0008978843688964844
[2 4 None 1 3 8 7 6 5], 13, 8, 0.0013608932495117188
[2 8 3 1 None 6 7 5 4], 14, 8, 0.0015320777893066406
[None 6 3 2 1 4 8 7 5], 12, 8, 0.0012059211730957031
[2 4 8 1 None 3 7 6 5], 11, 8, 0.0015070438385009766
[8 1 None 2 6 3 7 5 4], 10, 8, 0.0011310577392578125
[1 None 2 6 7 3 8 5 4], 12, 9, 0.0014622211456298828
[2 None 3 1 5 6 8 7 4], 12, 9, 0.0027289390563964844
[8 None 1 7 2 3 6 5 4], 13, 9, 0.0018329620361328125
[8 4 1 2 6 3 7 None 5], 12, 9, 0.0023889541625976562
[4 8 2 None 1 3 7 6 5], 20, 9, 0.0030121803283691406
[3 None 4 1 2 5 8 7 6], 13, 9, 0.0013208389282226562
[2 4 3 None 1 5 8 7 6], 18, 9, 0.0026350021362304688
[1 4 2 7 3 None 6 8 5], 15, 9, 0.0028460025787353516
[2 6 3 8 1 4 7 None 5], 21, 9, 0.0016088485717773438
[1 None 3 7 2 5 6 4 8], 12, 9, 0.0010323524475097656
[2 None 8 1 6 3 7 5 4], 15, 9, 0.0021848678588867188
[1 3 4 2 5 None 8 7 6], 14, 9, 0.0015261173248291016
[2 None 6 1 4 3 8 7 5], 16, 9, 0.002123594284057617
[2 8 3 6 7 4 1 None 5], 12, 9, 0.001293182373046875
[3 4 None 1 6 2 8 7 5], 15, 10, 0.00167083740234375
[2 3 5 1 None 8 7 4 6], 14, 10, 0.0016689300537109375
[1 5 2 8 4 3 None 7 6], 18, 10, 0.008133172988891602
[8 1 2 4 None 6 7 5 3], 17, 10, 0.0013451576232910156
[1 6 2 8 None 5 7 4 3], 28, 10, 0.0036711692810058594
[None 8 3 2 1 5 7 4 6], 26, 10, 0.004770755767822266
[1 2 3 5 7 6 None 8 4], 20, 10, 0.003927946090698242
[1 5 2 8 4 3 None 7 6], 18, 10, 0.0024302005767822266
[None 8 3 2 1 6 7 5 4], 26, 10, 0.0036399364471435547
[None 3 5 1 8 2 7 4 6], 13, 10, 0.0018470287322998047
[None 8 3 7 1 2 6 5 4], 12, 10, 0.0019898414611816406
[1 2 3 5 6 4 8 7 None], 25, 10, 0.0025119781494140625
[1 2 3 6 None 8 5 7 4], 29, 10, 0.0049898624420166016
[None 8 2 6 1 3 7 5 4], 18, 10, 0.003936767578125
[None 4 3 2 1 5 8 7 6], 19, 10, 0.002398967742919922
[8 1 4 3 6 2 7 5 None], 13, 10, 0.0016629695892333984
[None 1 4 6 3 2 8 7 5], 16, 10, 0.001470327377319336
[2 4 3 1 7 5 None 8 6], 16, 10, 0.0012390613555908203
[4 8 2 1 6 3 7 5 None], 14, 10, 0.0011088848114013672
[2 8 3 6 7 4 None 1 5], 20, 10, 0.0014889240264892578
[1 3 4 7 None 8 6 5 2], 15, 10, 0.001580953598022461
[3 4 None 1 2 5 8 7 6], 14, 10, 0.0014369487762451172
[1 8 2 7 5 3 6 4 None], 16, 10, 0.002565145492553711
[2 3 None 1 6 4 7 5 8], 19, 10, 0.0026488304138183594
[None 2 4 1 3 6 8 7 5], 25, 10, 0.00476527214050293
[1 2 None 8 4 6 7 5 3], 22, 10, 0.0026521682739257812
[None 8 4 2 3 1 7 6 5], 15, 10, 0.0022280216217041016
[1 3 4 6 2 5 None 8 7], 15, 10, 0.0013840198516845703
[None 2 4 1 3 5 7 8 6], 27, 10, 0.0037109851837158203
[2 6 3 8 4 None 7 1 5], 38, 11, 0.005408048629760742
[2 None 4 1 3 6 7 5 8], 21, 11, 0.0027360916137695312
[2 3 4 7 1 5 8 None 6], 29, 11, 0.004160881042480469
[1 3 4 None 5 6 8 7 2], 22, 11, 0.0017619132995605469
[6 1 2 None 7 3 8 5 4], 16, 11, 0.0018863677978515625
[8 4 2 3 1 None 7 6 5], 24, 11, 0.0018990039825439453
[1 5 2 None 4 3 8 7 6], 25, 11, 0.002847909927368164
[8 1 3 7 2 None 4 6 5], 31, 11, 0.0036280155181884766
[2 None 5 1 3 8 7 4 6], 18, 11, 0.0025331974029541016
[1 6 2 7 3 None 5 8 4], 18, 11, 0.0018911361694335938
[1 6 2 8 4 None 7 3 5], 38, 11, 0.0037369728088378906
[2 7 3 6 1 4 8 None 5], 24, 11, 0.003068208694458008
[2 3 4 None 7 6 1 8 5], 20, 11, 0.0028448104858398438
[7 2 3 None 8 4 6 1 5], 40, 11, 0.006038188934326172
[1 3 6 None 8 4 7 2 5], 38, 11, 0.005474090576171875
[3 6 4 1 7 2 8 None 5], 15, 11, 0.0015709400177001953
[2 None 4 6 3 8 1 7 5], 19, 11, 0.0022661685943603516
[8 1 4 None 7 2 6 3 5], 18, 11, 0.002440214157104492
[1 2 3 7 6 4 5 None 8], 41, 11, 0.005448102951049805
[1 2 3 None 5 7 6 8 4], 24, 11, 0.0033588409423828125
[6 1 2 4 7 3 8 None 5], 16, 11, 0.0023000240325927734
[3 None 4 1 7 2 6 8 5], 18, 11, 0.0019021034240722656
[1 None 2 7 6 3 5 8 4], 26, 11, 0.0021178722381591797
[6 1 2 8 4 3 7 None 5], 31, 11, 0.002553224563598633
[2 6 3 7 8 4 1 None 5], 37, 11, 0.00555109977722168
